name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
soko maize meal 2kg,Maize Meal,Soko,Maize MealSoko2kg,Naivas,2kg,2.0,kg,2.0,169.0,162.0,7.0,81.0,2026-04-20,https://www.naivas.online/soko-maize-meal-2kg
soko maize meal 5kg,Maize Meal,Soko,Maize MealSoko5kg,Naivas,5kg,5.0,kg,5.0,0.0,435.0,0.0,87.0,2026-04-20,https://www.naivas.online/soko-maize-meal-5kg
amaize premium maize meal 2kg,Maize Meal,Amaize,Maize MealAmaize2kg,Naivas,2kg,2.0,kg,2.0,209.0,193.0,16.0,96.5,2026-04-20,https://www.naivas.online/amaize-premium-maize-meal-2kg
zesta corn flour 400g,Wheat Flour,Zesta,Wheat FlourZesta400g,Naivas,400g,400.0,kg,0.4,0.0,99.0,0.0,247.5,2026-04-20,https://www.naivas.online/zesta-corn-flour-400g
kamal gram flour 1kg,Wheat Flour,Kamal,Wheat FlourKamal1kg,Naivas,1kg,1.0,kg,1.0,0.0,269.0,0.0,269.0,2026-04-20,https://www.naivas.online/kamal-gram-flour-1kg
cerelac wheat sachet 25g,Wheat Flour,Cerelac,Wheat FlourCerelac25g,Naivas,25g,25.0,kg,0.025,0.0,40.0,0.0,1600.0,2026-04-20,https://www.naivas.online/nestle-ceregrow-multigrain-50g
cerelac wheat 50g satchet,Wheat Flour,Cerelac,Wheat FlourCerelac50g,Naivas,50g,50.0,kg,0.05,0.0,70.0,0.0,1400.0,2026-04-20,https://www.naivas.online/nestle-cerelac-wheat-6-month-50g
alison wheat germ oil 100gm,Wheat Flour,Alison,Wheat FlourAlison100g,Naivas,100g,100.0,kg,0.1,0.0,168.0,0.0,1680.0,2026-04-20,https://www.naivas.online/alison-wheat-germ-oil-100gm
ajab premium maize meal 2kg,Maize Meal,Ajab,Maize MealAjab2kg,Naivas,2kg,2.0,kg,2.0,175.0,160.0,15.0,80.0,2026-04-20,https://www.naivas.online/ajab-premium-maize-meal-2kg
jogoo maize meal 2kg,Maize Meal,Jogoo,Maize MealJogoo2kg,Naivas,2kg,2.0,kg,2.0,0.0,167.0,0.0,83.5,2026-04-20,https://www.naivas.online/jogoo-maize-meal-2kg
mama maize meal 2kg,Maize Meal,Mama,Maize MealMama2kg,Naivas,2kg,2.0,kg,2.0,0.0,146.0,0.0,73.0,2026-04-20,https://www.naivas.online/mama-maize-meal-2kg
tupike maize meal 2kg,Maize Meal,Tupike,Maize MealTupike2kg,Naivas,2kg,2.0,kg,2.0,0.0,144.0,0.0,72.0,2026-04-20,https://www.naivas.online/tupike-maize-meal-2kg
pembe maize meal 2kg,Maize Meal,Pembe,Maize MealPembe2kg,Naivas,2kg,2.0,kg,2.0,0.0,169.0,0.0,84.5,2026-04-20,https://www.naivas.online/pembe-maize-meal-2kg
ndovu maize meal 2kg,Maize Meal,Ndovu,Maize MealNdovu2kg,Naivas,2kg,2.0,kg,2.0,139.0,135.0,4.0,67.5,2026-04-20,https://www.naivas.online/ndovu-maize-meal-2kg
jogoo maize meal 5kg,Maize Meal,Jogoo,Maize MealJogoo5kg,Naivas,5kg,5.0,kg,5.0,0.0,450.0,0.0,90.0,2026-04-20,https://www.naivas.online/jogoo-maize-meal-5kg
jogoo maize meal 10kg,Maize Meal,Jogoo,Maize MealJogoo10kg,Naivas,10kg,10.0,kg,10.0,0.0,880.0,0.0,88.0,2026-04-20,https://www.naivas.online/jogoo-maize-meal-10kg
210 maize meal flour 2 kg,Maize Meal,210,Maize Meal2102kg,Naivas,2kg,2.0,kg,2.0,0.0,158.0,0.0,79.0,2026-04-20,https://www.naivas.online/210-maize-meal-flour-2-kg
pembe maize meal 5 kg,Maize Meal,Pembe,Maize MealPembe5kg,Naivas,5kg,5.0,kg,5.0,0.0,425.0,0.0,85.0,2026-04-20,https://www.naivas.online/pembe-maize-meal-5-kg
pembe maize meal 10 kg,Maize Meal,Pembe,Maize MealPembe10kg,Naivas,10kg,10.0,kg,10.0,0.0,845.0,0.0,84.5,2026-04-20,https://www.naivas.online/pembe-maize-meal-10-kg
ndovu maize meal 1 kg,Maize Meal,Ndovu,Maize MealNdovu1kg,Naivas,1kg,1.0,kg,1.0,0.0,71.0,0.0,71.0,2026-04-20,https://www.naivas.online/ndovu-maize-meal-1-kg
raha premium maize meal 2kg,Maize Meal,Raha,Maize MealRaha2kg,Naivas,2kg,2.0,kg,2.0,0.0,198.0,0.0,99.0,2026-04-20,https://www.naivas.online/raha-premium-maize-meal-2kg
lea premium maize meal 2kg,Maize Meal,Lea,Maize MealLea2kg,Naivas,2kg,2.0,kg,2.0,0.0,193.0,0.0,96.5,2026-04-20,https://www.naivas.online/lea-premium-maize-meal-2kg
lea premium maize meal 1kg,Maize Meal,Lea,Maize MealLea1kg,Naivas,1kg,1.0,kg,1.0,0.0,97.0,0.0,97.0,2026-04-20,https://www.naivas.online/lea-premium-maize-meal-1kg
masterchef premium maize meal 2kg,Maize Meal,Masterchef,Maize MealMasterchef2kg,Naivas,2kg,2.0,kg,2.0,0.0,166.0,0.0,83.0,2026-04-20,https://www.naivas.online/masterchef-premium-maize-meal-2kg
spenza premium maize meal 1kg,Maize Meal,Spenza,Maize MealSpenza1kg,Naivas,1kg,1.0,kg,1.0,0.0,95.0,0.0,95.0,2026-04-20,https://www.naivas.online/spenza-premium-maize-meal-1kg
