name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
naivas local sugar white 1kg,Sugar,Naivas,SugarNaivas1kg,Naivas,1kg,1.0,kg,1.0,0.0,145.0,0.0,145.0,2026-04-27,https://www.naivas.online/naivas-local-sugar-white-1kg
naivas local sugar white 2kg,Sugar,Naivas,SugarNaivas2kg,Naivas,2kg,2.0,kg,2.0,0.0,289.0,0.0,144.5,2026-04-27,https://www.naivas.online/naivas-local-sugar-white-2kg
nutrameal packed sugar white 2kg,Sugar,Nutrameal,SugarNutrameal2kg,Naivas,2kg,2.0,kg,2.0,0.0,305.0,0.0,152.5,2026-04-27,https://www.naivas.online/nutrameal-packed-sugar-white-2kg
nutrameal packed sugar white 1kg,Sugar,Nutrameal,SugarNutrameal1kg,Naivas,1kg,1.0,kg,1.0,0.0,155.0,0.0,155.0,2026-04-27,https://www.naivas.online/nutrameal-packed-sugar-white-1kg
nutrameal packed sugar 5kg,Sugar,Nutrameal,SugarNutrameal5kg,Naivas,5kg,5.0,kg,5.0,0.0,765.0,0.0,153.0,2026-04-27,https://www.naivas.online/nutrameal-packed-sugar-5kg
economy white sugar 2 kg,Sugar,Economy,SugarEconomy2kg,Naivas,2kg,2.0,kg,2.0,0.0,289.0,0.0,144.5,2026-04-27,https://www.naivas.online/economy-white-sugar-2-kg
economy white sugar 1 kg,Sugar,Economy,SugarEconomy1kg,Naivas,1kg,1.0,kg,1.0,0.0,145.0,0.0,145.0,2026-04-27,https://www.naivas.online/Economy-White-Sugar-1-Kg
nuvita sugar free digestive 200g,Sugar,Nuvita,SugarNuvita200g,Naivas,200g,200.0,kg,0.2,0.0,225.0,0.0,1125.0,2026-04-27,https://www.naivas.online/nuvita-sugar-free-digestive-200g
orbit sugarfree s/berry 14g,Sugar,Orbit,SugarOrbit14g,Naivas,14g,14.0,kg,0.014,0.0,70.0,0.0,5000.0,2026-04-27,https://www.naivas.online/orbit-strawberry-sugar-free-gum-10-pieces
cr sugar free chevdo 250gm,Sugar,Cr,SugarCr250g,Naivas,250g,250.0,kg,0.25,0.0,297.0,0.0,1188.0,2026-04-27,https://www.naivas.online/cr-sugar-free-chevdo-250gm
cr sugar free chevdo 500gm,Sugar,Cr,SugarCr500g,Naivas,500g,500.0,kg,0.5,587.0,499.0,88.0,998.0,2026-04-27,https://www.naivas.online/cr-sugar-free-chevdo-500gm
naara sugar free granola 100gm,Sugar,Naara,SugarNaara100g,Naivas,100g,100.0,kg,0.1,0.0,188.0,0.0,1880.0,2026-04-27,https://www.naivas.online/naara-sugar-free-granola-100gm
wow sugared 100g,Sugar,Wow,SugarWow100g,Naivas,100g,100.0,kg,0.1,0.0,72.0,0.0,720.0,2026-04-27,https://www.naivas.online/wow-sugared-100g
wow sugared 15g,Sugar,Wow,SugarWow15g,Naivas,15g,15.0,kg,0.015,0.0,15.0,0.0,1000.0,2026-04-27,https://www.naivas.online/wow-sugared-20g
wow sugared 500g,Sugar,Wow,SugarWow500g,Naivas,500g,500.0,kg,0.5,0.0,210.0,0.0,420.0,2026-04-27,https://www.naivas.online/wow-sugared-500g
fresh sugarsnaps 250g,Sugar,Fresh,SugarFresh250g,Naivas,250g,250.0,kg,0.25,0.0,135.0,0.0,540.0,2026-04-27,https://www.naivas.online/sugarsnaps-250g
naara sugarfree granola 500 g,Sugar,Naara,SugarNaara500g,Naivas,500g,500.0,kg,0.5,0.0,735.0,0.0,1470.0,2026-04-27,https://www.naivas.online/naara-sugarfree-granola-500-g
wow sugared snack 200g,Sugar,Wow,SugarWow200g,Naivas,200g,200.0,kg,0.2,0.0,120.0,0.0,600.0,2026-04-27,https://www.naivas.online/wow-sugared-snack-200g
wow sugared snack 50g,Sugar,Wow,SugarWow50g,Naivas,50g,50.0,kg,0.05,0.0,45.0,0.0,900.0,2026-04-27,https://www.naivas.online/wow-sugared-snack-50g
coke zero sugar 2ltr pet,Sugar,Coke,SugarCoke2l,Naivas,2l,2.0,litres,2.0,190.0,169.0,21.0,84.5,2026-04-27,https://www.naivas.online/coke-zero-2ltr-pet
stoney tangawizi zero sugar 350ml pet,Sugar,Stoney,SugarStoney350ml,Naivas,350ml,350.0,litres,0.35,0.0,50.0,0.0,142.85714285714286,2026-04-27,https://www.naivas.online/stoney-tangawizi-350ml
orbit berry blast sugar-free gum 14.5g 14 pieces,Sugar,Orbit,SugarOrbit5g,Naivas,5g,5.0,kg,0.005,220.0,175.0,45.0,35000.0,2026-04-27,https://www.naivas.online/orbit-berry-blast-sugar-free-gum-145g-14-pieces
orbit peppermint sugar-free gum 14.5g 14 pieces,Sugar,Orbit,SugarOrbit5g,Naivas,5g,5.0,kg,0.005,220.0,175.0,45.0,35000.0,2026-04-27,https://www.naivas.online/orbit-peppermint-sugar-free-gum-145g-14-pieces
alpen muesli no added sugar 560g,Sugar,Alpen,SugarAlpen560g,Naivas,560g,560.0,kg,0.56,0.0,995.0,0.0,1776.7857142857142,2026-04-27,https://www.naivas.online/alpen-muesli-no-added-sugar-560g
zesta caster sugar 500g,Sugar,Zesta,SugarZesta500g,Naivas,500g,500.0,kg,0.5,0.0,139.0,0.0,278.0,2026-04-27,https://www.naivas.online/zesta-caster-sugar-500g
zesta icing sugar packet 500g,Sugar,Zesta,SugarZesta500g,Naivas,500g,500.0,kg,0.5,0.0,145.0,0.0,290.0,2026-04-27,https://www.naivas.online/zesta-icing-sugar-packet-500g
zesta icing sugar sachet 500g,Sugar,Zesta,SugarZesta500g,Naivas,500g,500.0,kg,0.5,0.0,139.0,0.0,278.0,2026-04-27,https://www.naivas.online/zesta-icing-sugar-sachet-500g
clovers icing sugar 500g,Sugar,Clovers,SugarClovers500g,Naivas,500g,500.0,kg,0.5,0.0,140.0,0.0,280.0,2026-04-27,https://www.naivas.online/clovers-icing-sugar-500g
jomu sachrine sugar 10gm,Sugar,Jomu,SugarJomu10g,Naivas,10g,10.0,kg,0.01,0.0,36.0,0.0,3600.0,2026-04-27,https://www.naivas.online/jomu-sacchrine-sugar-10g
jomu sodium saccharin sugar 50g,Sugar,Jomu,SugarJomu50g,Naivas,50g,50.0,kg,0.05,0.0,171.0,0.0,3420.0,2026-04-27,https://www.naivas.online/jomu-sodium-saccharin-sugar-50g
fresh wholemeal bread 400g,Bread,Fresh,BreadFresh400g,Naivas,400g,400.0,kg,0.4,0.0,56.0,0.0,140.0,2026-04-27,https://www.naivas.online/fm-wholemeal-bread-400g
fm white bread 600g,Bread,Fm,BreadFm600g,Naivas,600g,600.0,kg,0.6,0.0,88.0,0.0,146.66666666666669,2026-04-27,https://www.naivas.online/fm-white-bread-600g
festive family brown bread 600g,Bread,Festive,BreadFestive600g,Naivas,600g,600.0,kg,0.6,100.0,96.0,4.0,160.0,2026-04-27,https://www.naivas.online/festive-family-brown-bread-600g
festive milky white bread 800g,Milk,Festive,MilkFestive800g,Naivas,800g,800.0,kg,0.8,0.0,130.0,0.0,162.5,2026-04-27,https://www.naivas.online/festive-milky-white-bread-800g
festive white family bread 600g,Bread,Festive,BreadFestive600g,Naivas,600g,600.0,kg,0.6,100.0,96.0,4.0,160.0,2026-04-27,https://www.naivas.online/festive-white-family-bread-600g
fresh white bread 400g,Bread,Fresh,BreadFresh400g,Naivas,400g,400.0,kg,0.4,0.0,56.0,0.0,140.0,2026-04-27,https://www.naivas.online/fm-white-bread-400g
fm white bread 800gm,Bread,Fm,BreadFm800g,Naivas,800g,800.0,kg,0.8,0.0,115.0,0.0,143.75,2026-04-27,https://www.naivas.online/fm-white-bread-800gm
fm wholemeal bread 600g,Bread,Fm,BreadFm600g,Naivas,600g,600.0,kg,0.6,0.0,88.0,0.0,146.66666666666669,2026-04-27,https://www.naivas.online/fm-wholemeal-bread-600g
fm wholemeal bread 800g,Bread,Fm,BreadFm800g,Naivas,800g,800.0,kg,0.8,0.0,115.0,0.0,143.75,2026-04-27,https://www.naivas.online/fm-wholemeal-bread-800g
broadways brown sliced bread 400g,Bread,Broadways,BreadBroadways400g,Naivas,400g,400.0,kg,0.4,0.0,65.0,0.0,162.5,2026-04-27,https://www.naivas.online/broadways-brown-sliced-bread-400g
broadway brown sandwich sliced bread 600g,Bread,Broadway,BreadBroadway600g,Naivas,600g,600.0,kg,0.6,0.0,97.0,0.0,161.66666666666669,2026-04-27,https://www.naivas.online/broadway-brown-sandwich-sliced-bread-600g
broadways premium sliced bread 400g,Bread,Broadways,BreadBroadways400g,Naivas,400g,400.0,kg,0.4,0.0,65.0,0.0,162.5,2026-04-27,https://www.naivas.online/broadways-premium-sliced-bread-400g
broadways white sliced bread 400g,Bread,Broadways,BreadBroadways400g,Naivas,400g,400.0,kg,0.4,65.0,64.0,1.0,160.0,2026-04-27,https://www.naivas.online/broadways-white-sliced-bread-400g
broadways white sandwich sliced bread 600g,Bread,Broadways,BreadBroadways600g,Naivas,600g,600.0,kg,0.6,97.0,96.0,1.0,160.0,2026-04-27,https://www.naivas.online/broadways-white-sandwich-sliced-bread-600g
festive brown bread 1.5kg,Bread,Festive,BreadFestive5kg,Naivas,5kg,5.0,kg,5.0,0.0,240.0,0.0,48.0,2026-04-27,https://www.naivas.online/festive-brown-bread-1-5kg
festive white bread 400gm,Bread,Festive,BreadFestive400g,Naivas,400g,400.0,kg,0.4,0.0,63.0,0.0,157.5,2026-04-27,https://www.naivas.online/festive-white-bread-400g
festive wholemeal bread 400gm,Bread,Festive,BreadFestive400g,Naivas,400g,400.0,kg,0.4,65.0,62.0,3.0,155.0,2026-04-27,https://www.naivas.online/festive-wholemeal-bread-400g
supa brown barrel bread 600g,Bread,Supa,BreadSupa600g,Naivas,600g,600.0,kg,0.6,0.0,100.0,0.0,166.66666666666669,2026-04-27,https://www.naivas.online/supa-brown-barrel-bread-600g
supa loaf family bread 600g,Bread,Supa,BreadSupa600g,Naivas,600g,600.0,kg,0.6,0.0,100.0,0.0,166.66666666666669,2026-04-27,https://www.naivas.online/supa-loaf-family-bread-600g
supa loaf sandwich bread 1.5kg,Bread,Supa,BreadSupa5kg,Naivas,5kg,5.0,kg,5.0,0.0,240.0,0.0,48.0,2026-04-27,https://www.naivas.online/supa-loaf-sandwich-bread-1-5kg
supa loaf white bread 800g,Bread,Supa,BreadSupa800g,Naivas,800g,800.0,kg,0.8,0.0,130.0,0.0,162.5,2026-04-27,https://www.naivas.online/supa-loaf-white-bread-800g
fresh sweet bread 400gm,Bread,Fresh,BreadFresh400g,Naivas,400g,400.0,kg,0.4,0.0,54.0,0.0,135.0,2026-04-27,https://www.naivas.online/fm-sweet-bread-400g
broadways four square bread 4pcs 400g,Bread,Broadways,BreadBroadways400g,Naivas,400g,400.0,kg,0.4,0.0,65.0,0.0,162.5,2026-04-27,https://www.naivas.online/broadways-four-square-bread-4pcs-400g
festive tamu tamu bread 400gm,Bread,Festive,BreadFestive400g,Naivas,400g,400.0,kg,0.4,0.0,65.0,0.0,162.5,2026-04-27,https://www.naivas.online/festive-tamu-tamu-bread-400gm
supa butter toast bread 1.5kg,Bread,Supa,BreadSupa5kg,Naivas,5kg,5.0,kg,5.0,0.0,240.0,0.0,48.0,2026-04-27,https://www.naivas.online/supa-butter-toast-bread-1-5kg
supa butter toast bread 600g,Bread,Supa,BreadSupa600g,Naivas,600g,600.0,kg,0.6,0.0,100.0,0.0,166.66666666666669,2026-04-27,https://www.naivas.online/supa-butter-toast-bread-600g
supa loaf white bread 400gm ct,Bread,Supa,BreadSupa400g,Naivas,400g,400.0,kg,0.4,0.0,65.0,0.0,162.5,2026-04-27,https://www.naivas.online/supa-loaf-white-bread-400gm-ct
supa white barrel bread 400g,Bread,Supa,BreadSupa400g,Naivas,400g,400.0,kg,0.4,0.0,65.0,0.0,162.5,2026-04-27,https://www.naivas.online/supa-white-barrel-bread-400g
festive whole bread 800g,Bread,Festive,BreadFestive800g,Naivas,800g,800.0,kg,0.8,0.0,130.0,0.0,162.5,2026-04-27,https://www.naivas.online/festive-whole-bread-800g
cil aromatic blended rice 2 kg,Rice,Cil,RiceCil2kg,Naivas,2kg,2.0,kg,2.0,0.0,365.0,0.0,182.5,2026-04-27,https://www.naivas.online/cil-aromatic-blended-rice-2-kg
cil aromatic brown rice 1kg,Rice,Cil,RiceCil1kg,Naivas,1kg,1.0,kg,1.0,0.0,349.0,0.0,349.0,2026-04-27,https://www.naivas.online/cil-aromatic-brown-rice-1kg
cil pishori aromatic rice 1kg,Rice,Cil,RiceCil1kg,Naivas,1kg,1.0,kg,1.0,0.0,303.0,0.0,303.0,2026-04-27,https://www.naivas.online/cil-pishori-aromatic-rice-1kg
cil pishori aromatic rice 2kg,Rice,Cil,RiceCil2kg,Naivas,2kg,2.0,kg,2.0,0.0,604.0,0.0,302.0,2026-04-27,https://www.naivas.online/cil-pishori-aromatic-rice-2kg
cil pishori aromatic rice 5kg,Rice,Cil,RiceCil5kg,Naivas,5kg,5.0,kg,5.0,0.0,1499.0,0.0,299.8,2026-04-27,https://www.naivas.online/cil-pishori-aromatic-rice-5kg
daawat aromatic rice 1kg,Rice,Daawat,RiceDaawat1kg,Naivas,1kg,1.0,kg,1.0,0.0,299.0,0.0,299.0,2026-04-27,https://www.naivas.online/daawat-aromatic-rice-1kg
daawat aromatic rice 2kg,Rice,Daawat,RiceDaawat2kg,Naivas,2kg,2.0,kg,2.0,0.0,595.0,0.0,297.5,2026-04-27,https://www.naivas.online/daawat-aromatic-rice-2kg
daawat aromatic rice 5kg,Rice,Daawat,RiceDaawat5kg,Naivas,5kg,5.0,kg,5.0,0.0,1469.0,0.0,293.8,2026-04-27,https://www.naivas.online/daawat-aromatic-rice-5kg
daawat basmati rice 1kg,Rice,Daawat,RiceDaawat1kg,Naivas,1kg,1.0,kg,1.0,0.0,335.0,0.0,335.0,2026-04-27,https://www.naivas.online/daawat-basmati-rice-1kg
daawat basmati rice 2kg,Rice,Daawat,RiceDaawat2kg,Naivas,2kg,2.0,kg,2.0,665.0,599.0,66.0,299.5,2026-04-27,https://www.naivas.online/daawat-basmati-rice-2kg
daawat basmati rice 5kg,Rice,Daawat,RiceDaawat5kg,Naivas,5kg,5.0,kg,5.0,1649.0,1399.0,250.0,279.8,2026-04-27,https://www.naivas.online/daawat-basmati-rice-5kg
daawat basmatic rice 25kg,Rice,Daawat,RiceDaawat25kg,Naivas,25kg,25.0,kg,25.0,0.0,7915.0,0.0,316.6,2026-04-27,https://www.naivas.online/daawat-basmatic-rice-25kg
